大白菜,1.6,2.0,1.8,2022-03-30 00:00:00
大白菜,2.4,2.6,2.5,2022-03-30 00:00:00
娃娃菜,1.8,2.0,1.9,2022-03-30 00:00:00
小白菜,2.3,2.5,2.4,2022-03-30 00:00:00
圆白菜,1.8,2.0,1.9,2022-03-30 00:00:00
圆白菜,0.8,1.4,1.1,2022-03-30 00:00:00
紫甘蓝,1.1,1.2,1.15,2022-03-30 00:00:00
芹菜,1.8,2.5,2.15,2022-03-30 00:00:00
西芹,2.3,2.7,2.5,2022-03-30 00:00:00
菠菜,1.0,2.0,1.5,2022-03-30 00:00:00
莴笋,1.3,2.0,1.65,2022-03-30 00:00:00
团生菜,1.7,3.0,2.35,2022-03-30 00:00:00
散叶生菜,3.0,3.5,3.25,2022-03-30 00:00:00
罗马生菜,2.0,2.3,2.15,2022-03-30 00:00:00
油菜,1.5,2.0,1.75,2022-03-30 00:00:00
香菜,1.5,3.0,2.25,2022-03-30 00:00:00
茴香,2.5,3.0,2.75,2022-03-30 00:00:00
韭菜,2.8,3.0,2.9,2022-03-30 00:00:00
苦菊,6.0,8.0,7.0,2022-03-30 00:00:00
油麦菜,1.7,3.0,2.35,2022-03-30 00:00:00
菜花,1.5,1.6,1.55,2022-03-30 00:00:00
散菜花,1.0,2.6,1.8,2022-03-30 00:00:00
绿菜花,2.2,2.8,2.5,2022-03-30 00:00:00
绿豆芽,0.95,1.0,0.98,2022-03-30 00:00:00
黄豆芽,0.85,0.9,0.88,2022-03-30 00:00:00
番茄,2.2,3.5,2.85,2022-03-30 00:00:00
番茄,3.2,4.4,3.8,2022-03-30 00:00:00
番茄,4.2,4.8,4.5,2022-03-30 00:00:00
黄瓜,2.2,3.8,3.0,2022-03-30 00:00:00
黄瓜,3.7,5.0,4.35,2022-03-30 00:00:00
小黄瓜,4.5,5.0,4.75,2022-03-30 00:00:00
茄子,2.2,3.5,2.85,2022-03-30 00:00:00
长茄,3.5,4.3,3.9,2022-03-30 00:00:00
广茄,4.0,5.0,4.5,2022-03-30 00:00:00
线茄,6.0,7.0,6.5,2022-03-30 00:00:00
冬瓜,2.5,2.7,2.6,2022-03-30 00:00:00
冬瓜,2.2,2.4,2.3,2022-03-30 00:00:00
毛冬瓜,3.5,3.8,3.65,2022-03-30 00:00:00
架豆,3.5,5.5,4.5,2022-03-30 00:00:00
豆王,7.0,9.3,8.15,2022-03-30 00:00:00
扁豆,3.6,4.7,4.15,2022-03-30 00:00:00
豇豆,7.5,10.0,8.75,2022-03-30 00:00:00
白不老,5.5,8.7,7.1,2022-03-30 00:00:00
油豆,10.0,11.0,10.5,2022-03-30 00:00:00
毛豆,7.0,7.3,7.15,2022-03-30 00:00:00
玉米,2.0,2.5,2.25,2022-03-30 00:00:00
花生,5.0,5.2,5.1,2022-03-30 00:00:00
苦瓜,5.0,5.5,5.25,2022-03-30 00:00:00
丝瓜,4.8,5.0,4.9,2022-03-30 00:00:00
西葫芦,2.1,2.5,2.3,2022-03-30 00:00:00
佛手瓜,2.0,2.2,2.1,2022-03-30 00:00:00
贝贝南瓜,4.8,5.0,4.9,2022-03-30 00:00:00
金丝南瓜,2.0,2.3,2.15,2022-03-30 00:00:00
板栗南瓜,3.5,3.8,3.65,2022-03-30 00:00:00
南北瓜,1.5,1.9,1.7,2022-03-30 00:00:00
尖椒,5.0,6.5,5.75,2022-03-30 00:00:00
红尖椒,8.0,10.0,9.0,2022-03-30 00:00:00
美人椒,13.0,14.0,13.5,2022-03-30 00:00:00
螺丝椒,9.0,10.0,9.5,2022-03-30 00:00:00
柿子椒,4.0,5.0,4.5,2022-03-30 00:00:00
线椒,8.0,11.0,9.5,2022-03-30 00:00:00
杭椒,7.0,8.0,7.5,2022-03-30 00:00:00
小米椒,28.0,32.0,30.0,2022-03-30 00:00:00
彩椒,6.0,7.0,6.5,2022-03-30 00:00:00
白萝卜,0.6,1.0,0.8,2022-03-30 00:00:00
心里美,1.4,1.7,1.55,2022-03-30 00:00:00
卞萝卜,1.5,1.6,1.55,2022-03-30 00:00:00
青萝卜,2.5,3.0,2.75,2022-03-30 00:00:00
青萝卜,0.8,1.4,1.1,2022-03-30 00:00:00
胡萝卜,0.7,1.2,0.95,2022-03-30 00:00:00
胡萝卜,1.4,1.4,1.4,2022-03-30 00:00:00
土豆,0.8,1.2,1.0,2022-03-30 00:00:00
土豆,1.4,1.8,1.6,2022-03-30 00:00:00
葱头,1.4,1.6,1.5,2022-03-30 00:00:00
葱头,1.4,1.6,1.5,2022-03-30 00:00:00
山药,3.5,4.3,3.9,2022-03-30 00:00:00
山药,4.8,7.0,5.9,2022-03-30 00:00:00
莲藕,3.5,4.5,4.0,2022-03-30 00:00:00
红薯,1.6,2.0,1.8,2022-03-30 00:00:00
